ticker,name,industry,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check Revenue GR,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
FVRR,Fiverr Lt,Internet Commerce,2020-12-01,4,216.17,29.68,336.0,9.64,-469.93,-0.46,-0.21,0.0,0.0,-5.99,-5.99,1.07,1.07,0.0,0.0,0.0,,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,1+2+3+4,1+2+3+4,2+3+4,52,190,-0.75,-0.46,-5,17
FLGT,FULGENT GENETIC,Medical Information Systems,2020-12-01,6,90.5,12.36,189.89,19.64,10.16,8.91,9.85,0.0,0.0,65.72,65.72,0.0,0.0,0.0,133.33,66.67,6.36,0.0,0.99,9.93,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.37,113.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,+,2+3+4+5+6,1+2+3+4+5+6,3+6,10,422,-0.64,8.91,-1,141
GE,General Electric,Diversified Operations,2020-12-01,10,13.39,5.48,14.41,4.05,23.09,0.58,4.33,0.04,0.3,16.38,16.38,1.98,1.98,0.0,37.23,18.61,17.53,0.0,-1.3,12.78,-12.15,-8.03,-1.3,3.4,1.95,2.86,3.4,81.97,-12.89,-7.12,-6.15,0.0,-6.89,0.0,0.0,0.0,-5.85,0,0,0,0,1+2+6+8+10,2+3+4+6,1+2+3+4+5+6+8,5,142237,79619,1.23,0.58,33359,3597
GME,GameStop,Retail - Consumer Electronics,2021-01-01,10,154.69,3.77,483.0,6.24,-46.73,-3.31,-2.14,0.0,0.0,-41.08,-41.08,1.54,1.54,0.0,244.25,122.12,12.55,0.0,-14.28,35.32,-60.05,-32.32,0.0,5.71,4.61,5.75,0.0,19.73,-17.98,-11.48,-6.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1+2+3+5+9,1+2+3+9,1+2+3+4+5+8+9+10,2,9551,5090,2.41,-3.31,625,124
GOOG,Alphabet,Internet Services,2020-12-01,10,2297.76,1209.71,2306.6,330.12,39.2,58.61,2.55,0.0,0.0,19.0,19.0,0.11,0.11,21.82,58.26,40.04,32.13,16.1,3.36,0.76,3.75,3.32,0.0,0.0,0.0,0.0,0.0,0.0,18.08,19.47,20.06,19.76,16.82,0.0,48.22,20.74,16.1,1,1,0,1,+,+,4,+,37905,182527,14.89,58.61,14565,65124
HUBS,HubSpot,Internet Software,2020-12-01,10,521.18,133.89,547.47,16.46,-274.31,-1.9,-0.36,0.0,0.0,-12.04,-12.04,0.98,0.98,0.0,0.0,0.0,,0.0,-1.51,0.83,-0.87,-1.31,0.0,0.0,0.0,0.0,0.0,0.0,32.97,37.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,6+7+8+9+10,29,883,-1.03,-1.9,-13,89
INTC,Intel,Semiconductor - General,2020-12-01,10,64.75,43.61,68.49,19.9,13.11,4.94,7.63,1.32,2.04,26.36,26.36,0.42,0.42,9.92,21.53,15.73,12.18,9.41,8.97,2.53,9.39,7.87,8.97,3.32,2.51,2.65,3.32,38.09,7.45,7.06,5.97,12.85,6.19,0.0,35.4,16.22,9.41,0,1,0,1,6+8+9,+,4+5+8+9,+,53999,77867,2.39,4.94,20963,35384
INTU,Intuit,Computer Software,2020-07-01,10,415.82,246.42,423.74,32.38,63.0,6.6,1.59,2.24,0.54,27.74,41.24,0.27,0.44,24.32,76.56,50.44,36.18,14.61,3.3,1.2,2.32,2.65,3.3,0.89,0.72,0.86,0.89,34.89,14.04,12.87,8.31,37.99,12.27,0.0,22.99,40.15,14.61,0,1,0,1,6,+,6,+,3851,7679,2.0,6.92,1013,2414
JBL,Jabil,Electrical Manufacturing Services (EMS),2020-08-01,10,54.44,23.05,54.75,14.04,22.59,2.41,4.43,0.32,0.59,19.23,2.92,1.43,1.65,10.34,123.9,67.12,29.7,0.0,6.12,3.31,3.03,3.58,6.12,1.42,1.06,1.16,1.42,38.01,12.67,8.78,7.35,-28.28,-10.79,0.0,-20.25,-24.74,-7.7,0,1,0,1,7,+,1+3+4+5+7+8,+,16519,27266,1.73,0.35,828,1257
JD,JD,Internet Commerce,2019-12-01,9,77.04,40.59,108.29,18.48,4.17,18.48,23.99,0.0,0.0,25.36,17.21,0.15,0.19,0.0,337.42,168.71,29.36,0.0,-3.31,14.83,4.93,-3.31,0.0,0.0,0.0,0.0,0.0,0.0,30.41,38.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,2+4+5+6+7+8+9,1+2+3+4+5+6+7+8+9,5+9,21129,576888,-2.88,8.22,-86,24781
JNJ,Johnson & Johnson,Large Cap Pharmaceutical,2020-12-01,10,162.24,133.65,173.65,24.04,29.44,5.51,3.4,3.98,2.45,23.97,23.97,0.52,0.52,16.37,330.61,173.49,49.6,0.11,5.08,1.93,4.03,3.64,5.08,3.22,2.7,2.74,3.22,110.68,2.61,3.34,2.98,-0.92,0.99,0.0,127.17,0.11,1.43,0,1,0,1,6,+,1+3+4+6+10,+,65030,82584,3.49,5.51,14298,23536
KO,CocaCola,Beverages - Soft Drinks,2020-12-01,10,53.68,43.2,54.93,4.48,29.99,1.79,3.33,1.64,3.06,40.48,40.48,2.08,2.08,18.45,152.66,85.56,35.1,1.4,4.46,1.8,3.53,3.09,4.46,3.49,3.19,3.41,3.49,89.54,-2.31,-5.71,-0.62,1.05,-4.13,0.0,83.44,1.4,-3.4,0,1,0,1,1+3+4+5+6+7+8,+,1+4+5+7+8+10,+,46542,33014,1.85,1.79,9474,9844
