date,price,eps,pe,ticker
2017-09-30,38.32,$0.59,64.95,RGEN
2017-06-30,41.44,$0.51,81.25,RGEN
2017-03-31,35.2,$0.38,92.63,RGEN
2016-12-31,30.82,$0.34,90.65,RGEN
2016-09-30,30.19,$0.20,150.95,RGEN
2016-06-30,27.36,$0.25,109.44,RGEN
2016-03-31,26.82,$0.25,107.28,RGEN
2015-12-31,28.29,$0.29,97.55,RGEN
2021-04-16,252.42,$-2.94,0.0,SE
2020-09-30,154.04,$-2.94,0.0,SE
2020-06-30,107.24,$-2.07,0.0,SE
2020-03-31,44.31,$-1.72,0.0,SE
2019-12-31,40.22,$-2.97,0.0,SE
2019-09-30,30.95,$-3.16,0.0,SE
2019-06-30,33.22,$-3.80,0.0,SE
2019-03-31,23.52,$-4.05,0.0,SE
2018-12-31,11.32,$-2.83,0.0,SE
2018-09-30,13.83,$-2.92,0.0,SE
2021-04-16,118.34,$0.56,211.32,SBUX
2020-12-31,106.52,$0.56,190.22,SBUX
2020-09-30,85.14,$0.77,110.58,SBUX
2020-06-30,72.53,$1.11,65.34,SBUX
2020-03-31,64.45,$2.81,22.93,SBUX
2019-12-31,85.79,$3.06,28.04,SBUX
2019-09-30,85.85,$2.93,29.3,SBUX
2019-06-30,81.09,$2.82,28.76,SBUX
2019-03-31,71.91,$2.31,31.13,SBUX
2018-12-31,61.97,$2.25,27.54,SBUX
2018-09-30,54.4,$3.21,16.95,SBUX
2018-06-30,46.43,$3.19,14.56,SBUX
2018-03-31,54.74,$3.05,17.95,SBUX
2017-12-31,54.01,$3.03,17.82,SBUX
2017-09-30,50.24,$1.97,25.5,SBUX
2017-06-30,54.3,$1.97,27.56,SBUX
2017-03-31,54.15,$2.01,26.94,SBUX
2016-12-31,51.25,$1.95,26.28,SBUX
2016-09-30,49.75,$1.90,26.19,SBUX
2016-06-30,52.31,$1.79,29.22,SBUX
2016-03-31,54.48,$1.69,32.23,SBUX
2015-12-31,54.6,$1.63,33.49,SBUX
2015-09-30,51.53,$1.82,28.31,SBUX
2021-04-16,258.71,$2.72,95.11,SEDG
2020-12-31,319.12,$2.72,117.32,SEDG
2020-09-30,238.35,$3.42,69.69,SEDG
2020-06-30,138.78,$3.40,40.82,SEDG
2020-03-31,81.88,$3.36,24.37,SEDG
2019-12-31,95.09,$2.89,32.9,SEDG
2019-09-30,83.72,$2.13,39.31,SEDG
2019-06-30,62.46,$2.27,27.52,SEDG
2019-03-31,37.68,$2.33,16.17,SEDG
2018-12-31,35.1,$2.69,13.05,SEDG
2018-09-30,37.65,$2.84,13.26,SEDG
2018-06-30,47.85,$2.50,19.14,SEDG
2018-03-31,52.6,$2.28,23.07,SEDG
2017-12-31,37.55,$1.85,20.3,SEDG
2017-09-30,28.55,$1.43,19.97,SEDG
2017-06-30,20.0,$1.20,16.67,SEDG
2017-03-31,15.6,$1.09,14.31,SEDG
2016-12-31,12.4,$1.29,9.61,SEDG
2016-09-30,17.23,$1.84,9.36,SEDG
2016-06-30,19.6,$1.78,11.01,SEDG
2016-03-31,25.14,$1.39,18.09,SEDG
2015-12-31,28.17,$0.88,32.01,SEDG
2021-04-16,111.1,$8.15,13.63,SONY
2020-12-31,101.1,$8.15,12.4,SONY
2020-09-30,76.75,$6.98,11.0,SONY
2020-06-30,68.92,$4.90,14.06,SONY
2020-03-31,59.0,$4.24,13.91,SONY
2019-12-31,67.53,$4.77,14.16,SONY
2019-09-30,58.72,$6.02,9.75,SONY
2019-06-30,51.87,$5.83,8.9,SONY
2019-03-31,41.82,$6.35,6.59,SONY
2018-12-31,47.59,$5.61,8.48,SONY
2018-09-30,59.79,$4.71,12.69,SONY
2018-06-30,50.42,$4.41,11.43,SONY
2018-03-31,47.55,$3.37,14.11,SONY
2017-12-31,44.09,$3.68,11.98,SONY
2017-09-30,36.62,$1.78,20.57,SONY
2017-06-30,37.34,$0.92,40.59,SONY
2017-03-31,32.98,$0.52,63.43,SONY
2016-12-31,27.33,$-0.29,0.0,SONY
2016-09-30,32.38,$0.36,89.95,SONY
2016-06-30,28.54,$0.54,52.86,SONY
2016-03-31,25.01,$0.96,26.06,SONY
2015-12-31,23.85,$0.82,29.09,SONY
2015-09-30,23.74,$0.67,35.44,SONY
2015-06-30,27.43,$-0.69,0.0,SONY
2015-03-31,25.87,$-1.04,0.0,SONY
2021-04-16,292.02,$-3.79,0.0,SPOT
2020-12-31,314.66,$-3.79,0.0,SPOT
2020-09-30,242.57,$-4.26,0.0,SPOT
2020-06-30,258.19,$-3.17,0.0,SPOT
2020-03-31,121.44,$-1.54,0.0,SPOT
2019-12-31,149.55,$-2.22,0.0,SPOT
2019-09-30,114.0,$-0.55,0.0,SPOT
2019-06-30,146.22,$-0.69,0.0,SPOT
2019-03-31,138.8,$-2.81,0.0,SPOT
2021-04-16,99.98,$1.97,50.75,SSTK
2020-12-31,71.53,$1.97,36.31,SSTK
2020-09-30,51.79,$1.39,37.26,SSTK
2020-06-30,34.69,$0.91,38.12,SSTK
2020-03-31,31.76,$0.47,67.57,SSTK
2019-12-31,42.15,$0.56,75.27,SSTK
2019-09-30,35.5,$0.86,41.28,SSTK
2019-06-30,38.52,$0.93,41.42,SSTK
2019-03-31,45.84,$0.83,55.22,SSTK
2018-12-31,35.4,$1.54,22.98,SSTK
2018-09-30,53.65,$1.18,45.47,SSTK
2018-06-30,44.07,$1.11,39.7,SSTK
2018-03-31,44.71,$1.21,36.95,SSTK
2017-12-31,39.96,$0.48,83.25,SSTK
2017-09-30,30.91,$0.69,44.8,SSTK
2017-06-30,40.93,$0.81,50.53,SSTK
2017-03-31,38.4,$0.92,41.74,SSTK
2016-12-31,44.13,$0.90,49.03,SSTK
2016-09-30,59.15,$0.82,72.14,SSTK
2016-06-30,42.53,$0.67,63.48,SSTK
2016-03-31,34.11,$0.62,55.01,SSTK
2015-12-31,30.03,$0.54,55.61,SSTK
2021-04-16,129.48,$4.28,30.25,TER
2020-12-31,119.8,$4.28,27.99,TER
2020-09-30,79.33,$3.98,19.93,TER
2020-06-30,84.28,$3.52,23.94,TER
2020-03-31,53.94,$3.02,17.86,TER
